Blended Classifiers,Total Classifers,Accuracy,Precision,Recall,F1-Score,Confusion Matrix,Kappa,Execution Time (s),Total Classifiers,Total Features,Training Data Size,Test Data Size,Random State,Preprocessing,SMOTE,Total CPU Cores,CPU Usage (%),Total RAM,Memory Usage,Processor Type,OS
"('SDG', 'Support Vector Machine')",2,0.8338658146964856,0.8439426760956044,0.8338658146964856,0.832788212489632,"[[602  20   7]
 [113 506  18]
 [ 35 119 458]]",0.7505246579664346,401.07704162597656,2,8940,7512,1878,x,1,1,2,38.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'SDG', 'Support Vector Machine')",3,0.8386581469648562,0.8415439712902687,0.8386581469648562,0.8371021416317772,"[[591  27  11]
 [107 474  56]
 [ 38  64 510]]",0.7579517046795902,432.36347699165344,3,8940,7512,1878,x,1,1,2,20.700000000000003,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('SDG', 'Support Vector Machine')",2,0.8306709265175719,0.8416523244592912,0.8306709265175719,0.8294839566330862,"[[605  17   7]
 [124 495  18]
 [ 40 112 460]]",0.7457489223564473,393.8490755558014,3,8940,7512,1878,x,1,1,2,67.6,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'Support Vector Machine')",2,0.829073482428115,0.8396972813127631,0.829073482428115,0.8281576446411016,"[[594  28   7]
 [106 512  19]
 [ 40 121 451]]",0.7433031161497213,435.8052048683167,3,8940,7512,1878,x,1,1,2,0.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'SDG')",2,0.8205537806176784,0.8296477568462997,0.8205537806176784,0.8179723189954613,"[[608  15   6]
 [135 448  54]
 [ 57  70 485]]",0.7307581862340324,60.45486354827881,3,8940,7512,1878,x,1,1,2,74.9,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'SDG')",2,0.8317358892438764,0.8352958318773628,0.8317358892438764,0.8299652463010334,"[[595  22  12]
 [112 471  54]
 [ 41  75 496]]",0.7475368326475603,58.16105818748474,2,8940,7512,1878,x,1,1,2,79.4,12982.625,19.09 MB,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'Random Forest')",2,0.784877529286475,0.8018261187817803,0.784877529286475,0.7813464515141081,"[[587  35   7]
 [109 501  27]
 [ 74 152 386]]",0.6767666783966655,51.68587613105774,2,8940,7512,1878,x,1,1,2,78.4,12982.625,6.95 MB,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'Support Vector Machine')",2,0.829073482428115,0.8396972813127631,0.829073482428115,0.8281576446411016,"[[594  28   7]
 [106 512  19]
 [ 40 121 451]]",0.7433031161497213,416.57414054870605,2,8940,7512,1878,x,1,1,2,43.900000000000006,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'SDG', 'Support Vector Machine')",3,0.838125665601704,0.8409320548277978,0.838125665601704,0.8366225742439054,"[[589  28  12]
 [107 474  56]
 [ 38  63 511]]",0.757156377541797,447.5394835472107,3,8940,7512,1878,x,1,1,2,0.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'SDG')",2,0.8317358892438764,0.8362654688893525,0.8317358892438764,0.8297791895072312,"[[598  19  12]
 [116 466  55]
 [ 44  70 498]]",0.7475534788987688,60.72757959365845,3,8940,7512,1878,x,1,1,2,67.7,12982.625,67.19 MB,x86_64,Linux(5.15.120+)
"('SDG', 'Support Vector Machine')",2,0.8312034078807242,0.841956344192918,0.8312034078807242,0.830043496173901,"[[604  18   7]
 [121 498  18]
 [ 39 114 459]]",0.7465414401335144,402.215124130249,3,8940,7512,1878,x,1,1,2,68.5,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'Support Vector Machine')",2,0.829073482428115,0.8396972813127631,0.829073482428115,0.8281576446411016,"[[594  28   7]
 [106 512  19]
 [ 40 121 451]]",0.7433031161497213,418.0470337867737,3,8940,7512,1878,x,1,1,2,0.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'SDG', 'Support Vector Machine')",3,0.845580404685836,0.8477445045113957,0.845580404685836,0.8451262743182734,"[[553  36   7]
 [ 97 480  45]
 [ 19  86 555]]",0.7685517292962123,653.3627614974976,3,11381,7512,1878,x,0,1,2,0.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('SDG', 'Support Vector Machine')",2,0.84185303514377,0.8515229887010769,0.84185303514377,0.84154852377131,"[[572  22   2]
 [107 494  21]
 [ 25 120 515]]",0.7633203034165765,599.2271916866302,3,11381,7512,1878,x,0,1,2,0.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'SDG')",2,0.836528221512247,0.8411433349754396,0.836528221512247,0.8354749673754005,"[[566  25   5]
 [113 466  43]
 [ 29  92 539]]",0.7551686504987537,73.28861832618713,3,11381,7512,1878,x,0,1,2,75.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'Support Vector Machine')",2,0.8343982960596379,0.8454100907556716,0.8343982960596379,0.8346477071675527,"[[560  32   4]
 [103 500  19]
 [ 24 129 507]]",0.7521491710128199,645.5121192932129,3,11381,7512,1878,x,0,1,2,0.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
